Machine_ID,Temperature,Run_Time,Downtime_Flag
M30,61.82075275030104,860.3699735926999,1
M14,69.44841829546903,992.7549191766269,0
M9,104.98521935403704,337.85102134492377,1
M32,113.76029500447349,720.6478186795132,0
M41,68.70909453995961,996.3376590625326,1
M13,60.0201647806251,730.7997245135109,0
M47,93.77678500560162,314.4709034362903,1
M48,113.88375084365035,191.91009745527904,1
M46,116.2767416215868,206.19819333709233,0
M50,82.50035921177894,769.9352323747877,0
M3,72.67304065185415,824.4603276496566,1
M20,82.361087491404,496.083174257573,0
M28,84.12253851247664,848.0554347942065,1
M48,109.14347058339192,887.0011269016943,0
M1,86.18749043525798,860.4003504361515,0
M17,79.24972107167821,921.793574232359,1
M42,53.93468565142451,912.1530139746219,0
M3,82.11122265723964,734.8710106500829,0
M13,53.087778306067875,144.05349540576745,1
M28,113.52452528261105,888.8006835976817,0
M20,62.25734321486553,330.7950453090227,0
M36,74.3667536166399,878.7995284036454,0
M36,86.22720216968317,185.78949548929177,1
M48,110.34058130081984,650.236725616069,1
M41,101.78675554660114,552.7315372800668,0
M24,84.56772128415781,446.96621122025755,1
M39,62.2548013875986,436.25734581814567,1
M4,92.77801027256291,477.49338482426646,0
M20,63.29240999738279,542.1653676806889,1
M48,56.594983404879414,291.0032045180999,1
M41,107.62323145464006,234.7717483254635,1
M4,57.27209306476674,420.70094288781655,0
M19,60.110451793410896,869.8927900251457,0
M7,56.55502891333019,874.2883879412751,0
M17,53.00287431580052,979.29327698488,1
M45,117.43342712321109,168.32847954649162,1
M13,118.94045635143792,456.4836769518905,1
M24,59.154689488200034,365.00493910561477,0
M1,71.20452740220583,180.4205592098494,1
M3,51.79669320531445,310.02687156026775,0
M12,112.91220440827277,207.69603529529797,0
M22,87.07265019312766,717.7828770052961,1
M17,108.73768296057227,424.6604561126138,0
M48,108.2494769350968,898.455065721174,1
M38,103.1897197195252,798.5962667222216,0
M16,68.38506881006886,917.3916387368189,1
M28,52.14733634949206,960.6602730426987,1
M18,87.93326212364934,991.9451703980271,1
M29,89.48311367482603,389.58956808241567,1
M37,87.75047277934044,638.3978548208182,1
M26,93.10682434810104,687.4476300598138,0
M15,58.32131267527387,613.307534554855,1
M48,81.1954099004023,705.0293049506062,1
M23,97.7413900083327,760.4895657635659,1
M2,119.37008607220133,799.878799396436,1
M50,98.08996323202567,462.09192072354466,0
M33,55.08536282567851,858.520396643565,0
M10,104.64324794207896,261.2945307673259,1
M3,66.44468003316184,619.245866466578,0
M29,84.95154797417467,767.0154544131851,0
M16,66.74114084734956,698.8042938181745,1
M18,53.38672230474277,677.0335178805768,1
M10,84.88431027735794,859.7625983465534,1
M10,65.3435488020647,854.0940271611258,1
M48,114.4558035531492,865.6926476443165,1
M48,67.73802690769162,424.3951066835998,0
M23,78.09219165277402,389.3161967812409,0
M40,104.80411095676011,971.4905562287735,0
